name,id,status
spor yap,1,start
mekik çek,2,start
hergün 1.30dk plank,3,start
kitap oku,4,start
Belemiri sev,5,start
Pardon o default zaten :),6,start
to - app mi lazım onun için NANİİİİİİİİ!!!!!,7,start
spor yap,8,start
mekik çek,9,start
hergün 1.30dk plank,10,start
kitap oku,11,start
Belemiri sev,12,start
Pardon o default zaten :),13,start
to - app mi lazım onun için NANİİİİİİİİ!!!!!,14,start
spor yap,15,start
mekik çek,16,start
hergün 1.30dk plank,17,start
kitap oku,18,start
Belemiri sev,19,start
Pardon o default zaten :),20,start
to - app mi lazım onun için NANİİİİİİİİ!!!!!,21,start
belemiri her gün öppppppp,23,start
